"filename", "language", "Dart", "comment", "blank", "total"
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/main.dart", "Dart", 281, 1, 18, 300
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/models/category.dart", "Dart", 23, 0, 6, 29
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/models/notes.dart", "Dart", 46, 1, 4, 51
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/database_helper.dart", "Dart", 178, 8, 20, 206
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/noteDetails.dart", "Dart", 200, 5, 7, 212
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/noteDetailsUpdate.dart", "Dart", 201, 5, 7, 213
"Total", "-", 929, 20, 62, 1011
