"filename", "language", "Dart", "comment", "blank", "total"
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/main.dart", "Dart", 54, 1, 4, 59
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/models/notes.dart", "Dart", 2, 0, -1, 1
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/database_helper.dart", "Dart", 85, 0, 2, 87
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/noteDetails.dart", "Dart", 190, 5, 3, 198
"Total", "-", 331, 6, 8, 345
