"filename", "language", "Dart", "comment", "blank", "total"
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/main.dart", "Dart", 190, 1, 12, 203
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/models/category.dart", "Dart", 23, 0, 6, 29
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/models/notes.dart", "Dart", 46, 1, 4, 51
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/database_helper.dart", "Dart", 176, 8, 20, 204
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/noteDetails.dart", "Dart", 203, 5, 7, 215
"Total", "-", 638, 15, 49, 702
