"filename", "language", "Dart", "comment", "blank", "total"
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/main.dart", "Dart", 136, 0, 8, 144
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/models/category.dart", "Dart", 23, 0, 6, 29
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/models/notes.dart", "Dart", 44, 1, 5, 50
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/database_helper.dart", "Dart", 91, 8, 18, 117
"/Users/macbook/Desktop/yazilim/flutter_apps/note_app/lib/utils/noteDetails.dart", "Dart", 13, 0, 4, 17
"Total", "-", 307, 9, 41, 357
